ZIP_CODE,STATE_NAME,PARENT_NAME,PARENT_ID,PAYER_NAME,PAYER_ID,OVERALL,COMMERCIAL,COMMERCIAL_FI,FI_HMO,FI_PPO,FI_POS,FI_INDEMNITY,PUBLIC_HIX_INDIVIDUAL,PUBLIC_HIX_SHOP,FI_CDHP,COMMERCIAL_SI,SI_HMO,SI_PPO,SI_POS,SI_INDEMNITY,SI_CDHP,MEDICARE_ADVANTAGE_PART_C,PAYER_MANAGED_MEDICAID,MGD_MEDICAID_TITLE_19,MGD_MEDICAID_TITLE_21_CHIP,MGD_MEDICAID_SPECIALTY_PROGRAMS,MANAGED_MEDICAID_DUAL_ELIGIBLE,TRICARE,CREATED_AT
48316,Michigan,Molina Healthcare,1142,,,742,218,218,0,0,0,0,218,0,0,0,0,0,0,0,0,134,424,424,0,0,34,0,2026-03-02 08:27:02.243 -0500
74857,Oklahoma,Medical Mutual,1129,,,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
48610,Michigan,Molina Healthcare,1142,,,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,34,0,0,1,0,2026-03-02 08:27:02.243 -0500
75709,Texas,Medical Mutual,1129,,,2,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
49027,Michigan,Molina Healthcare,1142,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
78133,Texas,Medical Mutual,1129,,,2,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
49648,Michigan,Molina Healthcare,1142,,,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,36,0,0,0,0,2026-03-02 08:27:02.243 -0500
79701,Texas,Medical Mutual,1129,,,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
49770,Michigan,Molina Healthcare,1142,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,2026-03-02 08:27:02.243 -0500
84029,Utah,Medical Mutual,1129,,,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
50235,Iowa,Molina Healthcare,1142,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
89128,Nevada,Medical Mutual,1129,,,2,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
50622,Iowa,Molina Healthcare,1142,,,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,89,19,0,4,0,2026-03-02 08:27:02.243 -0500
92335,California,Medical Mutual,1129,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
51529,Iowa,Molina Healthcare,1142,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,2026-03-02 08:27:02.243 -0500
93622,California,Medical Mutual,1129,,,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
52132,Iowa,Molina Healthcare,1142,,,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,61,17,0,3,0,2026-03-02 08:27:02.243 -0500
97086,Oregon,Medical Mutual,1129,,,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
52351,Iowa,Molina Healthcare,1142,,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,21,3,0,1,0,2026-03-02 08:27:02.243 -0500
53226,Wisconsin,Molina Healthcare,1142,,,550,11,11,0,0,0,0,11,0,0,0,0,0,0,0,0,23,531,531,0,0,15,0,2026-03-02 08:27:02.243 -0500
53705,Wisconsin,Molina Healthcare,1142,,,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,207,207,0,0,3,0,2026-03-02 08:27:02.243 -0500
54157,Wisconsin,Molina Healthcare,1142,,,212,7,7,0,0,0,0,7,0,0,0,0,0,0,0,0,1,211,211,0,0,7,0,2026-03-02 08:27:02.243 -0500
