STATE_NAME,MSA_NAME,MSA_CODE,PARENT_NAME,PARENT_ID,PAYER_NAME,PAYER_ID,OVERALL,COMMERCIAL,COMMERCIAL_FI,FI_HMO,FI_PPO,FI_POS,FI_INDEMNITY,PUBLIC_HIX_INDIVIDUAL,PUBLIC_HIX_SHOP,FI_CDHP,COMMERCIAL_SI,SI_HMO,SI_PPO,SI_POS,SI_INDEMNITY,SI_CDHP,MEDICARE_ADVANTAGE_PART_C,PAYER_MANAGED_MEDICAID,MGD_MEDICAID_TITLE_19,MGD_MEDICAID_TITLE_21_CHIP,MGD_MEDICAID_SPECIALTY_PROGRAMS,MANAGED_MEDICAID_DUAL_ELIGIBLE,TRICARE,OVERALL_PCT,COMMERCIAL_PCT,COMMERCIAL_FI_PCT,FI_HMO_PCT,FI_PPO_PCT,FI_POS_PCT,FI_INDEMNITY_PCT,PUBLIC_HIX_INDIVIDUAL_PCT,PUBLIC_HIX_SHOP_PCT,FI_CDHP_PCT,COMMERCIAL_SI_PCT,SI_HMO_PCT,SI_PPO_PCT,SI_POS_PCT,SI_INDEMNITY_PCT,SI_CDHP_PCT,MEDICARE_ADVANTAGE_PART_C_PCT,PAYER_MANAGED_MEDICAID_PCT,MGD_MEDICAID_TITLE_19_PCT,MGD_MEDICAID_TITLE_21_CHIP_PCT,MGD_MEDICAID_SPECIALTY_PROGRAMS_PCT,MANAGED_MEDICAID_DUAL_ELIGIBLE_PCT,TRICARE_PCT,CREATED_AT
Texas,Abilene,10180,Elevance Health,1251,Anthem BlueCross BlueShield Kentucky,35,72,72,5,0,5,0,0,0,0,2,67,0,67,0,0,37,0,0,0,0,0,0,0,0.0600,0.0900,0.0100,0.0000,0.0300,0.0000,0.0000,0.0000,0.0000,0.0400,0.1400,0.0000,0.1800,0.0000,0.0000,0.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:25:32.429 -0500
Texas,Abilene,10180,Elevance Health,1251,Anthem BlueCross BlueShield Indiana,34,722,722,4,0,4,0,0,0,0,2,718,0,708,0,10,410,0,0,0,0,0,0,0,0.6100,0.8700,0.0100,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0400,1.4900,0.0000,1.9500,0.0000,0.6300,4.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:25:32.429 -0500
Texas,Abilene,10180,Elevance Health,1251,Wellpoint,29,4163,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,104,4925,4925,0,0,867,0,3.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,0.7500,21.9200,22.9900,0.0000,0.0000,40.9500,0.0000,2026-03-02 08:25:32.429 -0500
Texas,Abilene,10180,El Paso Health,1043,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,2026-03-02 08:25:32.429 -0500
Texas,Abilene,10180,El Paso Health,1043,El Paso Health,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,2026-03-02 08:25:32.429 -0500
Texas,Abilene,10180,EmblemHealth,2096,EmblemHealth Plan,252,6,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100,0.0100,0.0200,0.0000,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:25:32.429 -0500
Texas,Abilene,10180,EmblemHealth,2096,,,6,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100,0.0100,0.0200,0.0000,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:25:32.429 -0500
Texas,Abilene,10180,Florida Blue,982,Triple-S,598,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0100,0.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:25:32.429 -0500
Texas,Abilene,10180,Florida Blue,982,,,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0100,0.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:25:32.429 -0500
Texas,Abilene,10180,Government Employees Health Association,1063,,,438,438,438,0,438,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3700,0.5300,1.2400,0.0000,2.2200,0.0000,0.0000,0.0000,0.0000,0.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:25:32.429 -0500
Texas,Abilene,10180,Government Employees Health Association,1063,Government Employees Health Association,245,438,438,438,0,438,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3700,0.5300,1.2400,0.0000,2.2200,0.0000,0.0000,0.0000,0.0000,0.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:25:32.429 -0500
Texas,Abilene,10180,Health Care Service Corporation,1074,BlueCross BlueShield Texas,91,54782,54780,26864,19,16847,0,47,9951,0,3812,27916,6,23444,3014,1452,2060,0,2,2,0,0,0,0,46.5700,65.7200,76.3400,3.3000,85.4700,0.0000,60.2600,73.9800,0.0000,81.5600,57.9600,50.0000,64.4700,29.5500,91.3200,25.0100,0.0000,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:25:32.429 -0500
Texas,Abilene,10180,Health Care Service Corporation,1074,,,59205,59157,27057,19,17040,0,47,9951,0,3838,32100,7,27588,3014,1491,3006,46,2,2,0,0,0,0,50.3300,70.9700,76.8900,3.3000,86.4500,0.0000,60.2600,73.9800,0.0000,82.1100,66.6400,58.3300,75.8600,29.5500,93.7700,36.4900,0.3300,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:25:32.429 -0500
Texas,Abilene,10180,Health Care Service Corporation,1074,BlueCross BlueShield Montana,77,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:25:32.429 -0500
Texas,Abilene,10180,Health Care Service Corporation,1074,BlueCross BlueShield Illinois,86,4208,4208,145,0,145,0,0,0,0,25,4063,0,4024,0,39,943,0,0,0,0,0,0,0,3.5800,5.0500,0.4100,0.0000,0.7400,0.0000,0.0000,0.0000,0.0000,0.5300,8.4400,0.0000,11.0700,0.0000,2.4500,11.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:25:32.429 -0500
Texas,Abilene,10180,Health Care Service Corporation,1074,BlueCross BlueShield Oklahoma,89,169,169,48,0,48,0,0,0,0,1,121,1,120,0,0,3,0,0,0,0,0,0,0,0.1400,0.2000,0.1400,0.0000,0.2400,0.0000,0.0000,0.0000,0.0000,0.0200,0.2500,8.3300,0.3300,0.0000,0.0000,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:25:32.429 -0500
Texas,Abilene,10180,HealthPartners (MN),1089,,,7,7,5,0,5,0,0,0,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0.0100,0.0100,0.0100,0.0000,0.0300,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0100,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:25:32.429 -0500
Texas,Abilene,10180,HealthPartners (MN),1089,HealthPartners (MN),307,7,7,5,0,5,0,0,0,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0.0100,0.0100,0.0100,0.0000,0.0300,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0100,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:25:32.429 -0500
