STATE_NAME,PARENT_NAME,PARENT_ID,PAYER_NAME,PAYER_ID,OVERALL,COMMERCIAL,COMMERCIAL_FI,FI_HMO,FI_PPO,FI_POS,FI_INDEMNITY,PUBLIC_HIX_INDIVIDUAL,PUBLIC_HIX_SHOP,FI_CDHP,COMMERCIAL_SI,SI_HMO,SI_PPO,SI_POS,SI_INDEMNITY,SI_CDHP,MEDICARE_ADVANTAGE_PART_C,PAYER_MANAGED_MEDICAID,MGD_MEDICAID_TITLE_19,MGD_MEDICAID_TITLE_21_CHIP,MGD_MEDICAID_SPECIALTY_PROGRAMS,MANAGED_MEDICAID_DUAL_ELIGIBLE,TRICARE,OVERALL_PCT,COMMERCIAL_PCT,COMMERCIAL_FI_PCT,FI_HMO_PCT,FI_PPO_PCT,FI_POS_PCT,FI_INDEMNITY_PCT,PUBLIC_HIX_INDIVIDUAL_PCT,PUBLIC_HIX_SHOP_PCT,FI_CDHP_PCT,COMMERCIAL_SI_PCT,SI_HMO_PCT,SI_PPO_PCT,SI_POS_PCT,SI_INDEMNITY_PCT,SI_CDHP_PCT,MEDICARE_ADVANTAGE_PART_C_PCT,PAYER_MANAGED_MEDICAID_PCT,MGD_MEDICAID_TITLE_19_PCT,MGD_MEDICAID_TITLE_21_CHIP_PCT,MGD_MEDICAID_SPECIALTY_PROGRAMS_PCT,MANAGED_MEDICAID_DUAL_ELIGIBLE_PCT,TRICARE_PCT,CREATED_AT
Alaska,Rural Carrier Benefit,2443,Rural Carrier Benefit,1113,219,219,219,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600,0.0600,0.1700,0.0000,0.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Rural Carrier Benefit,2443,,,219,219,219,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600,0.0600,0.1700,0.0000,0.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Providence Health,1191,,,21978,21978,31,0,31,0,0,0,0,0,21947,0,21947,0,0,73,0,0,0,0,0,0,0,5.8700,5.9000,0.0200,0.0000,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,8.9000,0.0000,10.5800,0.0000,0.0000,0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Providence Health,1191,Providence Health,510,21978,21978,31,0,31,0,0,0,0,0,21947,0,21947,0,0,73,0,0,0,0,0,0,0,5.8700,5.9000,0.0200,0.0000,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,8.9000,0.0000,10.5800,0.0000,0.0000,0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Premera Blue Cross,1184,Premera Blue Cross,496,133784,133784,99738,0,82505,0,0,17233,0,6892,34046,0,34046,0,0,7771,0,0,0,0,0,0,0,35.7200,35.9200,79.2800,0.0000,82.5800,0.0000,0.0000,71.1500,0.0000,77.9700,13.8000,0.0000,16.4100,0.0000,0.0000,13.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Premera Blue Cross,1184,,,133787,133787,99741,0,82508,0,0,17233,0,6892,34046,0,34046,0,0,7771,0,0,0,0,0,0,0,35.7200,35.9200,79.2900,0.0000,82.5900,0.0000,0.0000,71.1500,0.0000,77.9700,13.8000,0.0000,16.4100,0.0000,0.0000,13.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Premera Blue Cross,1184,LifeWise Health (WA),363,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Point32Health,1225,,,13,13,12,0,12,0,0,0,0,9,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0000,0.0000,0.0100,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,12.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Point32Health,1225,Harvard Pilgrim Health Care,262,13,13,12,0,12,0,0,0,0,9,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0000,0.0000,0.0100,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,12.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Pennsylvania Public School Employees` Retirement,2128,Pennsylvania Public School Employees' Retirement,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
